Yaoundé Nsimalen International Airport,NSI,17.0
Nagasaki Airport,NGS,17.0
Praia International Airport,RAI,17.0
Diori Hamani International Airport,NIM,17.0
Douglas-Charles Airport,DOM,17.0
Kagoshima Airport,KOJ,17.0
Komatsu Airport,KMQ,17.0
Hiroshima Airport,HIJ,17.0
Brest Bretagne Airport,BES,17.0
Asturias Airport,OVD,17.0
Maputo Airport,MPM,17.0
Omsk Central Airport,OMS,17.0
Lviv International Airport,LWO,17.0
Mandalay International Airport,MDL,17.0
Sentani International Airport,DJJ,17.0
Campo Grande Airport,CGR,17.0
The Eastern Iowa Airport,CID,17.0
Langkawi International Airport,LGK,17.0
Achmad Yani Airport,SRG,17.0
Adana Airport,ADA,17.0
Juneau International Airport,JNU,17.0
Columbia Metropolitan Airport,CAE,17.0
Fort Wayne International Airport,FWA,16.0
Lovell Field,CHA,16.0
Key West International Airport,EYW,16.0
Novy Urengoy Airport,NUX,16.0
Roberts International Airport,ROB,16.0
Bachigualato Federal International Airport,CUL,16.0
General Roberto Fierro Villalobos International Airport,CUU,16.0
General Heriberto Jara International Airport,VER,16.0
Regina International Airport,YQR,16.0
Gregorio Luperon International Airport,POP,16.0
Cozumel International Airport,CZM,16.0
"Zakynthos International Airport ""Dionysios Solomos""",ZTH,16.0
Podgorica Airport,TGD,16.0
Yancheng Airport,YNZ,16.0
Niigata Airport,KIJ,16.0
Changzhi Airport,CIH,16.0
Jingdezhen Airport,JDZ,16.0
